,Date,Team,Opp1,Lg,Att,Cmp,Pct,Pass_Yds,YPA,Pass_TD,TD%T%,Int,Int%I%,Lg,FD,20+,Sack,Loss,Rate,Res,Date,Team,Opp2,Lg,Att,Rush_Yds,Avg,Lg,Rush_TD,FD,10+,Res,Date,Team,Opp3,Lg,Rec,Rec_Yds,Avg,Lg,Rec_TD,FD,20+,Tar,YAC,Res
26,09/19/22,BUF,vs TEN,NFL,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,"W, 41-7",09/19/22,BUF,vs TEN,NFL,6,19,3.17,16,0,1,1,"W, 41-7",09/19/22,BUF,vs TEN,NFL,2,2,1.00,1,0,0,0,3,1,"W, 41-7"
27,09/25/22,BUF,@ MIA,NFL,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,"L, 21-19",09/25/22,BUF,@ MIA,NFL,9,13,1.44,6,0,1,0,"L, 21-19",09/25/22,BUF,@ MIA,NFL,9,78,8.67,22,1,4,1,11,58,"L, 21-19"
28,10/02/22,BUF,@ BAL,NFL,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,"W, 23-20",10/02/22,BUF,@ BAL,NFL,11,49,4.46,18,0,2,1,"W, 23-20",10/02/22,BUF,@ BAL,NFL,4,47,11.75,16,0,3,0,5,51,"W, 23-20"
29,10/09/22,BUF,vs PIT,NFL,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,"W, 38-3",10/09/22,BUF,vs PIT,NFL,6,42,7.00,23,0,1,1,"W, 38-3",10/09/22,BUF,vs PIT,NFL,1,4,4.00,4,0,0,0,2,0,"W, 38-3"
30,10/16/22,BUF,@ KC,NFL,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,"W, 24-20",10/16/22,BUF,@ KC,NFL,17,85,5.00,14,0,3,2,"W, 24-20",10/16/22,BUF,@ KC,NFL,4,22,5.50,11,0,2,0,5,21,"W, 24-20"
31,10/30/22,BUF,vs GB,NFL,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,"W, 27-17",10/30/22,BUF,vs GB,NFL,14,67,4.79,30,0,3,1,"W, 27-17",10/30/22,BUF,vs GB,NFL,1,16,16.00,16,0,1,0,2,13,"W, 27-17"
32,11/06/22,BUF,@ NYJ,NFL,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,"L, 20-17",11/06/22,BUF,@ NYJ,NFL,8,24,3.00,5,0,1,0,"L, 20-17",11/06/22,BUF,@ NYJ,NFL,4,24,6.00,11,0,1,0,5,29,"L, 20-17"
33,11/13/22,BUF,vs MIN,NFL,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,"L, 33-30",11/13/22,BUF,vs MIN,NFL,13,47,3.62,21,2,3,1,"L, 33-30",11/13/22,BUF,vs MIN,NFL,1,0,0.00,0,0,0,0,2,6,"L, 33-30"
34,11/20/22,BUF,vs CLE,NFL,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,"W, 31-23",11/20/22,BUF,vs CLE,NFL,18,86,4.78,18,1,7,3,"W, 31-23",11/20/22,BUF,vs CLE,NFL,2,11,5.50,6,0,0,0,2,6,"W, 31-23"
35,11/24/22,BUF,@ DET,NFL,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,"W, 28-25",11/24/22,BUF,@ DET,NFL,14,72,5.14,19,0,5,2,"W, 28-25",11/24/22,BUF,@ DET,NFL,1,8,8.00,8,0,0,0,1,8,"W, 28-25"
36,12/01/22,BUF,@ NE,NFL,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,"W, 24-10",12/01/22,BUF,@ NE,NFL,13,51,3.92,11,1,3,1,"W, 24-10",12/01/22,BUF,@ NE,NFL,0,0,0.00,0,0,0,0,2,0,"W, 24-10"
37,12/11/22,BUF,vs NYJ,NFL,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,"W, 20-12",12/11/22,BUF,vs NYJ,NFL,8,39,4.88,16,0,2,2,"W, 20-12",12/11/22,BUF,vs NYJ,NFL,1,4,4.00,4,0,0,0,2,0,"W, 20-12"
38,12/17/22,BUF,vs MIA,NFL,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,"W, 32-29",12/17/22,BUF,vs MIA,NFL,13,42,3.23,8,0,3,0,"W, 32-29",12/17/22,BUF,vs MIA,NFL,3,28,9.33,13,0,1,0,4,29,"W, 32-29"
39,12/24/22,BUF,@ CHI,NFL,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,"W, 35-13",12/24/22,BUF,@ CHI,NFL,12,106,8.83,33t,1,3,3,"W, 35-13",12/24/22,BUF,@ CHI,NFL,2,19,9.50,10,0,1,0,3,13,"W, 35-13"
40,01/08/23,BUF,vs NE,NFL,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,"W, 35-23",01/08/23,BUF,vs NE,NFL,7,29,4.14,18,0,2,1,"W, 35-23",01/08/23,BUF,vs NE,NFL,1,3,3.00,3,0,0,0,1,0,"W, 35-23"
41,01/15/23,BUF,vs MIA,NFL,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,"W, 34-31",01/15/23,BUF,vs MIA,NFL,10,48,4.80,13,0,4,1,"W, 34-31",01/15/23,BUF,vs MIA,NFL,0,0,0.00,0,0,0,0,0,0,"W, 34-31"
42,01/22/23,BUF,vs CIN,NFL,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,"L, 27-10",01/22/23,BUF,vs CIN,NFL,6,25,4.17,7,0,2,0,"L, 27-10",01/22/23,BUF,vs CIN,NFL,5,37,7.40,16,0,1,0,8,45,"L, 27-10"
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/13/22,BUF,vs IND,NFL,3,5,1.67,5,0,0,0,"W, 27-24",08/13/22,BUF,vs IND,NFL,1,5,5.00,5,0,0,0,1,11,"W, 27-24"
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/20/22,BUF,vs DEN,NFL,4,38,9.50,19,0,2,1,"W, 42-15",08/20/22,BUF,vs DEN,NFL,1,12,12.00,12,0,1,0,1,8,"W, 42-15"
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/26/22,BUF,@ CAR,NFL,3,13,4.33,9,0,0,0,"L, 21-0",08/26/22,BUF,@ CAR,NFL,1,0,0.00,0,0,0,0,1,5,"L, 21-0"
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/08/22,BUF,@ LA,NFL,1,2,2.00,2,0,0,0,"W, 31-10",09/08/22,BUF,@ LA,NFL,0,0,0.00,0,0,0,0,0,0,"W, 31-10"
