,Date,Team,Opp1,Lg,Att,Cmp,Pct,Pass_Yds,YPA,Pass_TD,TD%T%,Int,Int%I%,Lg,FD,20+,Sack,Loss,Rate,Res,Date,Team,Opp2,Lg,Att,Rush_Yds,Avg,Lg,Rush_TD,FD,10+,Res,Date,Team,Opp3,Lg,Rec,Rec_Yds,Avg,Lg,Rec_TD,FD,20+,Tar,YAC,Res
976,10/16/22,JAX,@ IND,NFL,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,"L, 34-27",10/16/22,JAX,@ IND,NFL,12,54,4.50,14,0,3,2,"L, 34-27",10/16/22,JAX,@ IND,NFL,1,1,1.00,1,0,0,0,1,1,"L, 34-27"
977,10/23/22,JAX,vs NYG,NFL,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,"L, 23-17",10/23/22,JAX,vs NYG,NFL,0,0,0.00,0,0,0,0,"L, 23-17",10/23/22,JAX,vs NYG,NFL,0,0,0.00,0,0,0,0,1,0,"L, 23-17"
978,10/30/22,NYJ,vs NE,NFL,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,"L, 22-17",10/30/22,NYJ,vs NE,NFL,5,17,3.40,7,0,0,0,"L, 22-17",10/30/22,NYJ,vs NE,NFL,0,0,0.00,0,0,0,0,1,0,"L, 22-17"
979,11/06/22,NYJ,vs BUF,NFL,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,"W, 20-17",11/06/22,NYJ,vs BUF,NFL,13,48,3.69,16,0,3,1,"W, 20-17",11/06/22,NYJ,vs BUF,NFL,2,5,2.50,7t,1,1,0,2,14,"W, 20-17"
980,11/20/22,NYJ,@ NE,NFL,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,"L, 10-3",11/20/22,NYJ,@ NE,NFL,7,10,1.43,5,0,0,0,"L, 10-3",11/20/22,NYJ,@ NE,NFL,0,0,0.00,0,0,0,0,0,0,"L, 10-3"
981,12/04/22,NYJ,@ MIN,NFL,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,"L, 27-22",12/04/22,NYJ,@ MIN,NFL,4,10,2.50,4,0,1,0,"L, 27-22",12/04/22,NYJ,@ MIN,NFL,0,0,0.00,0,0,0,0,0,0,"L, 27-22"
982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/12/22,NYJ,@ PHI,NFL,1,9,9.00,9,0,1,0,1,5,"W, 24-21"
983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/28/22,NYJ,vs NYG,NFL,1,9,9.00,9,0,0,0,2,5,"W, 31-27"
984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/11/22,NYJ,vs BAL,NFL,5,49,9.80,24,0,3,1,7,16,"L, 24-9"
985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/18/22,NYJ,@ CLE,NFL,3,41,13.67,18,0,2,0,5,0,"W, 31-30"
986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/25/22,NYJ,vs CIN,NFL,4,49,12.25,18,0,3,0,9,0,"L, 27-12"
987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/02/22,NYJ,@ PIT,NFL,3,53,17.67,28,0,2,2,4,15,"W, 24-20"
988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/09/22,NYJ,vs MIA,NFL,1,11,11.00,11,0,1,0,4,2,"W, 40-17"
989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/16/22,NYJ,@ GB,NFL,0,0,0.00,0,0,0,0,0,0,"W, 27-10"
990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/30/22,NYJ,vs NE,NFL,0,0,0.00,0,0,0,0,1,0,"L, 22-17"
991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/06/22,NYJ,vs BUF,NFL,0,0,0.00,0,0,0,0,0,0,"W, 20-17"
992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/20/22,NYJ,@ NE,NFL,2,17,8.50,13,0,1,0,4,-1,"L, 10-3"
993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/27/22,NYJ,vs CHI,NFL,2,64,32.00,42,1,2,2,2,27,"W, 31-10"
994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/04/22,NYJ,@ MIN,NFL,2,7,3.50,4,0,0,0,6,8,"L, 27-22"
995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/11/22,NYJ,@ BUF,NFL,6,60,10.00,24,0,3,1,10,11,"L, 20-12"
996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/18/22,NYJ,vs DET,NFL,4,51,12.75,21,0,2,2,7,14,"L, 20-17"
997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/22/22,NYJ,vs JAX,NFL,2,15,7.50,8,0,1,0,3,5,"L, 19-3"
998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/23,NYJ,@ SEA,NFL,2,18,9.00,15,0,1,0,2,0,"L, 23-6"
999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/08/23,NYJ,@ MIA,NFL,1,11,11.00,15,0,1,0,1,-4,"L, 11-6"
1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/12/22,NYJ,@ PHI,NFL,3,23,7.67,10,0,1,0,4,18,"W, 24-21"
1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/28/22,NYJ,vs NYG,NFL,2,27,13.50,20,0,1,1,3,12,"W, 31-27"
1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/11/22,NYJ,vs BAL,NFL,4,16,4.00,6,1,1,0,7,0,"L, 24-9"
1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/18/22,NYJ,@ CLE,NFL,6,40,6.67,13,0,1,0,9,35,"W, 31-30"
1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/25/22,NYJ,vs CIN,NFL,8,84,10.50,21,0,3,1,8,62,"L, 27-12"
1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/02/22,NYJ,@ PIT,NFL,3,52,17.33,26,0,3,1,5,24,"W, 24-20"
1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/09/22,NYJ,vs MIA,NFL,0,0,0.00,0,0,0,0,1,0,"W, 40-17"
1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/16/22,NYJ,@ GB,NFL,1,16,16.00,16,0,1,0,2,8,"W, 27-10"
1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/23/22,NYJ,@ DEN,NFL,4,22,5.50,8,0,1,0,6,13,"W, 16-9"
1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/30/22,NYJ,vs NE,NFL,6,79,13.17,27,2,5,1,10,28,"L, 22-17"
1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/06/22,NYJ,vs BUF,NFL,1,7,7.00,7,0,1,0,2,3,"W, 20-17"
1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/20/22,NYJ,@ NE,NFL,2,15,7.50,8,0,0,0,3,9,"L, 10-3"
1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/27/22,NYJ,vs CHI,NFL,3,50,16.67,29,0,2,1,3,22,"W, 31-10"
1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/04/22,NYJ,@ MIN,NFL,2,9,4.50,6,0,0,0,7,7,"L, 27-22"
1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/11/22,NYJ,@ BUF,NFL,5,28,5.60,7,0,0,0,8,15,"L, 20-12"
1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/18/22,NYJ,vs DET,NFL,1,7,7.00,7,0,1,0,2,1,"L, 20-17"
1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/22/22,NYJ,vs JAX,NFL,4,34,8.50,27,0,1,1,4,29,"L, 19-3"
1017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/23,NYJ,@ SEA,NFL,6,80,13.33,30,0,4,1,6,34,"L, 23-6"
1018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/08/23,NYJ,@ MIA,NFL,2,13,6.50,7,0,1,0,4,3,"L, 11-6"
1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/12/22,NYJ,@ PHI,NFL,0,0,0.00,0,0,0,0,0,0,"W, 24-21"
1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/22/22,NYJ,vs ATL,NFL,0,0,0.00,0,0,0,0,0,0,"W, 24-16"
1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/28/22,NYJ,vs NYG,NFL,0,0,0.00,0,0,0,0,0,0,"W, 31-27"
1022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/11/22,NYJ,vs BAL,NFL,0,0,0.00,0,0,0,0,0,0,"L, 24-9"
1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/18/22,NYJ,@ CLE,NFL,0,0,0.00,0,0,0,0,0,0,"W, 31-30"
1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/25/22,NYJ,vs CIN,NFL,0,0,0.00,0,0,0,0,0,0,"L, 27-12"
1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/02/22,NYJ,@ PIT,NFL,0,0,0.00,0,0,0,0,0,0,"W, 24-20"
1026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/09/22,NYJ,vs MIA,NFL,0,0,0.00,0,0,0,0,0,0,"W, 40-17"
1027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/16/22,NYJ,@ GB,NFL,0,0,0.00,0,0,0,0,0,0,"W, 27-10"
1028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/30/22,NYJ,vs NE,NFL,0,0,0.00,0,0,0,0,0,0,"L, 22-17"
1029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/06/22,NYJ,vs BUF,NFL,0,0,0.00,0,0,0,0,0,0,"W, 20-17"
1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/20/22,NYJ,@ NE,NFL,0,0,0.00,0,0,0,0,0,0,"L, 10-3"
1031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/27/22,NYJ,vs CHI,NFL,0,0,0.00,0,0,0,0,0,0,"W, 31-10"
1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/18/22,NYJ,vs DET,NFL,0,0,0.00,0,0,0,0,0,0,"L, 20-17"
1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/22/22,NYJ,vs JAX,NFL,0,0,0.00,0,0,0,0,0,0,"L, 19-3"
1034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/23,NYJ,@ SEA,NFL,0,0,0.00,0,0,0,0,0,0,"L, 23-6"
1035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/08/23,NYJ,@ MIA,NFL,0,0,0.00,0,0,0,0,0,0,"L, 11-6"
1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/12/22,NYJ,@ PHI,NFL,0,0,0.00,0,0,0,0,"W, 24-21",08/12/22,NYJ,@ PHI,NFL,0,0,0.00,0,0,0,0,1,0,"W, 24-21"
1037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/28/22,NYJ,vs NYG,NFL,0,0,0.00,0,0,0,0,"W, 31-27",08/28/22,NYJ,vs NYG,NFL,1,9,9.00,9,0,1,0,1,3,"W, 31-27"
1038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/11/22,NYJ,vs BAL,NFL,0,0,0.00,0,0,0,0,"L, 24-9",09/11/22,NYJ,vs BAL,NFL,6,77,12.83,17,0,5,0,10,4,"L, 24-9"
1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/18/22,NYJ,@ CLE,NFL,0,0,0.00,0,0,0,0,"W, 31-30",09/18/22,NYJ,@ CLE,NFL,2,83,41.50,66t,1,2,1,4,25,"W, 31-30"
1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/25/22,NYJ,vs CIN,NFL,0,0,0.00,0,0,0,0,"L, 27-12",09/25/22,NYJ,vs CIN,NFL,2,27,13.50,22,0,1,1,5,2,"L, 27-12"
1041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/02/22,NYJ,@ PIT,NFL,0,0,0.00,0,0,0,0,"W, 24-20",10/02/22,NYJ,@ PIT,NFL,5,74,14.80,22,1,5,1,6,16,"W, 24-20"
1042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/09/22,NYJ,vs MIA,NFL,0,0,0.00,0,0,0,0,"W, 40-17",10/09/22,NYJ,vs MIA,NFL,2,38,19.00,21,0,2,1,4,6,"W, 40-17"
1043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/16/22,NYJ,@ GB,NFL,0,0,0.00,0,0,0,0,"W, 27-10",10/16/22,NYJ,@ GB,NFL,2,52,26.00,41,0,2,1,4,6,"W, 27-10"
1044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/23/22,NYJ,@ DEN,NFL,0,0,0.00,0,0,0,0,"W, 16-9",10/23/22,NYJ,@ DEN,NFL,0,0,0.00,0,0,0,0,1,0,"W, 16-9"
1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/27/22,NYJ,vs CHI,NFL,0,0,0.00,0,0,0,0,"W, 31-10",11/27/22,NYJ,vs CHI,NFL,1,9,9.00,9,0,1,0,3,3,"W, 31-10"
1046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/04/22,NYJ,@ MIN,NFL,0,0,0.00,0,0,0,0,"L, 27-22",12/04/22,NYJ,@ MIN,NFL,5,85,17.00,31,0,5,2,10,34,"L, 27-22"
1047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/11/22,NYJ,@ BUF,NFL,0,0,0.00,0,0,0,0,"L, 20-12",12/11/22,NYJ,@ BUF,NFL,1,15,15.00,15,0,1,0,1,0,"L, 20-12"
1048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/22/22,NYJ,vs JAX,NFL,0,0,0.00,0,0,0,0,"L, 19-3",12/22/22,NYJ,vs JAX,NFL,2,14,7.00,8,0,0,0,7,1,"L, 19-3"
1049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/23,NYJ,@ SEA,NFL,0,0,0.00,0,0,0,0,"L, 23-6",01/01/23,NYJ,@ SEA,NFL,3,45,15.00,16,0,3,0,6,0,"L, 23-6"
1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/08/23,NYJ,@ MIA,NFL,0,0,0.00,0,0,0,0,"L, 11-6",01/08/23,NYJ,@ MIA,NFL,1,17,17.00,17,0,1,0,3,12,"L, 11-6"
1051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/12/22,NYJ,@ PHI,NFL,0,0,0.00,0,0,0,0,1,0,"W, 24-21"
1052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/28/22,NYJ,vs NYG,NFL,1,6,6.00,6,0,0,0,2,7,"W, 31-27"
1053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/11/22,NYJ,vs BAL,NFL,0,0,0.00,0,0,0,0,0,0,"L, 24-9"
1054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/25/22,NYJ,vs CIN,NFL,1,5,5.00,5,0,0,0,1,0,"L, 27-12"
1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/02/22,NYJ,@ PIT,NFL,0,0,0.00,0,0,0,0,0,0,"W, 24-20"
1056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/09/22,NYJ,vs MIA,NFL,2,12,6.00,9,0,0,0,2,7,"W, 40-17"
1057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/16/22,NYJ,@ GB,NFL,2,17,8.50,14,0,1,0,2,19,"W, 27-10"
1058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/23/22,NYJ,@ DEN,NFL,1,5,5.00,5,0,0,0,2,7,"W, 16-9"
1059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/30/22,NYJ,vs NE,NFL,1,27,27.00,27,0,1,1,1,14,"L, 22-17"
1060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/06/22,NYJ,vs BUF,NFL,3,16,5.33,6,0,1,0,3,12,"W, 20-17"
1061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/20/22,NYJ,@ NE,NFL,0,0,0.00,0,0,0,0,0,0,"L, 10-3"
1062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/27/22,NYJ,vs CHI,NFL,3,17,5.67,8,0,1,0,3,10,"W, 31-10"
1063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/04/22,NYJ,@ MIN,NFL,1,31,31.00,31,0,1,1,1,14,"L, 27-22"
1064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/11/22,NYJ,@ BUF,NFL,1,7,7.00,7,0,0,0,2,2,"L, 20-12"
1065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/18/22,NYJ,vs DET,NFL,2,41,20.50,40t,2,2,1,2,10,"L, 20-17"
1066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/22/22,NYJ,vs JAX,NFL,1,30,30.00,30,0,1,1,1,1,"L, 19-3"
1067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/23,NYJ,@ SEA,NFL,3,24,8.00,12,0,2,0,7,9,"L, 23-6"
1068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/12/22,NYJ,@ PHI,NFL,0,0,0.00,0,0,0,0,"W, 24-21",08/12/22,NYJ,@ PHI,NFL,2,25,12.50,16,0,2,0,5,6,"W, 24-21"
1069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/22/22,NYJ,vs ATL,NFL,0,0,0.00,0,0,0,0,"W, 24-16",08/22/22,NYJ,vs ATL,NFL,3,43,14.33,27,0,1,1,4,5,"W, 24-16"
1070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/28/22,NYJ,vs NYG,NFL,0,0,0.00,0,0,0,0,"W, 31-27",08/28/22,NYJ,vs NYG,NFL,7,102,14.57,29t,1,5,1,8,5,"W, 31-27"
1071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/23/22,NYJ,@ DEN,NFL,0,0,0.00,0,0,0,0,"W, 16-9",10/23/22,NYJ,@ DEN,NFL,1,4,4.00,4,0,0,0,2,5,"W, 16-9"
1072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/30/22,NYJ,vs NE,NFL,0,0,0.00,0,0,0,0,"L, 22-17",10/30/22,NYJ,vs NE,NFL,2,76,38.00,63,0,2,1,3,47,"L, 22-17"
1073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/06/22,NYJ,vs BUF,NFL,0,0,0.00,0,0,0,0,"W, 20-17",11/06/22,NYJ,vs BUF,NFL,1,12,12.00,12,0,1,0,4,4,"W, 20-17"
1074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/20/22,NYJ,@ NE,NFL,0,0,0.00,0,0,0,0,"L, 10-3",11/20/22,NYJ,@ NE,NFL,2,35,17.50,34,0,1,1,6,7,"L, 10-3"
1075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/27/22,NYJ,vs CHI,NFL,0,0,0.00,0,0,0,0,"W, 31-10",11/27/22,NYJ,vs CHI,NFL,1,11,11.00,11,0,0,0,1,4,"W, 31-10"
1076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/04/22,NYJ,@ MIN,NFL,0,0,0.00,0,0,0,0,"L, 27-22",12/04/22,NYJ,@ MIN,NFL,0,0,0.00,0,0,0,0,1,0,"L, 27-22"
1077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/11/22,NYJ,@ BUF,NFL,0,0,0.00,0,0,0,0,"L, 20-12",12/11/22,NYJ,@ BUF,NFL,3,35,11.67,14,0,2,0,5,5,"L, 20-12"
1078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/18/22,NYJ,vs DET,NFL,0,0,0.00,0,0,0,0,"L, 20-17",12/18/22,NYJ,vs DET,NFL,1,13,13.00,13,0,1,0,2,3,"L, 20-17"
1079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/23,NYJ,@ SEA,NFL,0,0,0.00,0,0,0,0,"L, 23-6",01/01/23,NYJ,@ SEA,NFL,0,0,0.00,0,0,0,0,1,0,"L, 23-6"
1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/08/23,NYJ,@ MIA,NFL,0,0,0.00,0,0,0,0,"L, 11-6",01/08/23,NYJ,@ MIA,NFL,0,0,0.00,0,0,0,0,0,0,"L, 11-6"
1081,08/12/22,NYJ,@ PHI,NFL,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,"W, 24-21",08/12/22,NYJ,@ PHI,NFL,0,0,0.00,0,0,0,0,"W, 24-21",08/12/22,NYJ,@ PHI,NFL,1,20,20.00,20,0,1,1,2,2,"W, 24-21"
1082,08/22/22,NYJ,vs ATL,NFL,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,"W, 24-16",08/22/22,NYJ,vs ATL,NFL,0,0,0.00,0,0,0,0,"W, 24-16",08/22/22,NYJ,vs ATL,NFL,0,0,0.00,0,0,0,0,1,0,"W, 24-16"
1083,08/28/22,NYJ,vs NYG,NFL,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,"W, 31-27",08/28/22,NYJ,vs NYG,NFL,0,0,0.00,0,0,0,0,"W, 31-27",08/28/22,NYJ,vs NYG,NFL,3,41,13.67,19t,1,3,0,3,8,"W, 31-27"
1084,09/11/22,NYJ,vs BAL,NFL,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,"L, 24-9",09/11/22,NYJ,vs BAL,NFL,0,0,0.00,0,0,0,0,"L, 24-9",09/11/22,NYJ,vs BAL,NFL,0,0,0.00,0,0,0,0,0,0,"L, 24-9"
